NO,NAMA JAMU,KHASIAT,KANDUNGAN,ATURAN MINUM,EFEK SAMPING,JENIS,PRODUSEN,LOKASI PEMASARAN,LOKASI PRODUKSI,KABUPATEN,PERIZINAN
1,Galian Rapat Wangi,"mengurangi bau badan, mengurangi bau tidak sedap serta membuat rapet dan kesed area kewanitaan","kunci, kunyit, pinang muda parabes",,tidak ada,pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
2,Empot-empot legit,"Mengurangi lendir berlebih, mengatasi keputihan serta menimbulkan sensasi denyut saat berhubungan","kunci, kunyit, pinang muda parabes",,tidak ada,pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
3,galian singset,"mengurangi lemak dalam tubuh, menambah nafsu makan dan melancarkan BAB","kunyit, daun sirih, delima putih",,tidak ada,pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
4,jamu kecantikan,"perawatan khusus remaja putri, mengurangi bau badan dan mengatasi keputihan","daun sirih, kunyit, kulit manggis, kunci, pinang muda",,tidak ada,pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
5,jamu galian montok,untuk menambah nafsu makan,"temulawak , jahe",,tidak ada,pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
6,jamu terlambat bulan (lancar darah),mengurangi nyeri haid dan melancarkan peredaran darah sehingga lebih teratur,"kunyit, kunci",,tidak ada,pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
7,jamu melancarkan asi (pejje),melancarkan keluarnya ASI,"daun katule,kedawung, morinya, kulit manggis, temu ireng",,tidak ada,pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
8,serbuk wasiat dan butiran delima,mengatasi keputihan dan lendir berlebih di area kewanitaan,"manjakani, daun sirih, pinang muda, air kapur sirih",,tidak ada,pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
9,parfum rempah,menyegarkan bau badan dengan aroma khas rempah khas,"kayu gaharu, sentok",,tidak ada,cair,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
10,cebokan rempah,mengatasi keputihan dan gatal akibat bakteri dan jamur,"temu gunung, daun sirih",,tidak ada,serbuk,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
11,pancuran nikmat,antiseptic kewanitaan tanpa dibilas,"daun sirih, air kapur sirih, kunci",,tidak ada,cair,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
12,sabun kesed,sabun khusus wanita untuk mengatasi keputihan,"minyak zaitun, daun sirihair kapur sirih, essence",,tidak ada,cair,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
13,v-spa rempah,detoksifikasi kewanitaan agar bebas keputihan dan bau yang kurang sedap,"kayu gaharu, seccang, sentok, temu gunung, pandiyan",,tidak ada,serbuk,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
14,jamu bersalin,"perawatan khusus pasca melahirkan, mengembalikan tubuh seperti semula, melancarkan ASI dan mencegah timbulnya varises","jamu asi, param atas, param bawah, cebokan, dupa, godokan temulawak, jamu 40hari tapel pales",,tidak ada,pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
15,paket perawatan pranikah,"mengurangi bau badan, membuat kulit bersih dan lebih cerah","lulur rempah, mandi rempah dupa, sabun kesed, godokan rapetwangi, arfum rempah cemceman rambut",,tidak ada,serbuk,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
16,1 paket ramuan khusus wanita,perawatan khusus wanita untuk menjaga tubuh tetap prima dan hubungan suami istri makin mesra,"rapet wangi, empot, butiran delima, pancuran nikmat, sabun kesed.",,tidak ada,serbuk dan pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
17,jamu penyubur kandungan,menyuburkan kandungan,"kunyit, temu gunung sentok, temulawak",,tidak ada,pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
18,cemceman rambut,mengatasi ketombe dan kerontokan rambut,"jeruk purut, sentok",,tidak ada,cair,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
19,minyak bulus,mengencangkan kulit dan area khusus baik pria maupun wanita,,,tidak ada,cair,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
20,minyak zaitun,,,,tidak ada,cair,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
21,lulur rempah,membuat kulit bersih serta tampak lebih cerah,"panduyang, manyir, kulit jeruk perut",,tidak ada,serbuk,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
22,bedak dingin,"masker bengkoang untuk mencerahkan wajah, memudarkan bekas jerawat dan mengecilkan pori","bengkoang, tepung beras",,tidak ada,serbuk,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
23,pegal linu,"mengurangi capek, nyeri sendi dan melancarkan peredaran darah","lempuyang, laos, cabe jamu jahe merah, kencur, merica, ketumbar, sentok peok",,tidak ada,pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
24,jamu pembersih darah,mengatasi gatal gatal dan alergi pada kulit,"sambel loto, daun bawang, bawang putih",,tidak ada,pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
25,jamu kencing manis,menurunkan kadar gula dalam darah,lempuyang,,tidak ada,pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
26,bumbu minuman pokak,minuman herbal dari bahan jahe emprit,"jahe emprit, sentok, kayu manis, cengkeh, jeruk puru",,tidak ada,cair,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
27,1 paket jamu suami istri,mengharmoniskan hubungan suami istri,,,tidak ada,Serbuk dan pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
28,Jamu ma'jun super (plus madu),"menambah stamina, menambah masa otot dan melancarkan peredaran darah",bahan sehat lelaki + madu,,tidak ada,selai,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
29,jamu jantan super,menjaga stamina tubuh agar tetap fit,"gingseng, pasak bumi, cabe jamu, jahe merah, temu ireng",,tidak ada,pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
30,jamu aktivitas,penambah stamina khusus pekerja berat. Suplemen khusus untuk menambah stamina pria,,,tidak ada,pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
31,jamu darah tinggi,menurunkan tekanan darah tinggi,"daun salam, temu ireng, kunyit, bawang putih",,tidak ada,pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
32,1 paket ramuan khusus pria,suplemen khusus bagi pria untuk menjaga stamina dan kesehatan tubuh,"sehat lelaki, ma'jun aktivitas",,tidak ada,Serbuk dan pil,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES
33,Jamu Tradisional Madura,"Buat Kesehatan, Bau Badan, Keputihan","Sirih, Kunyit, Jahe, Kencur, Temulawak",,tidak ada,cair dan serbuk,Jamu Tradisional Madura,Burneh ,Burneh,Bangkalan,
34,Bom,"Untuk kuat berhubungan, dan Pegal - pegal",Rempah,,Pusing ringan,serbuk,Jamu Assegaf,se-madura,Klobungan Jeddih,Bangkalan,
35,Jamu Hitam,Untuk segala macam penyakit,Herbal,,tidak ada,Serbuk dan pil,Jamu Intan,Bangkalan,Jl. Ki Lemur Duwur,Bangkalan,
36,Jamu Pelintiran darah tinggi,"Menurunkan tekanan darah tinggi, menetralisir sirkulasi jantung, Menormalkan sirkulasi jantung",Rempah-rempah,,tidak ada,pil,Sari Madu,Se-indonesia,Bangkalan,Bangkalan,
37,Empot-empot Super,1.Memulihkan elastisitas organ intim wanita; 2. Mengencangkan ototÂ² miss V; 3. Mengencangkan payudara; 4. Mengencangkan seluruh kulit shg tampak lebih muda; 5. Menambah gairah dan semangat dalam berhubungan suami istri; 6. Menghilangkan gatalÂ² di miss V,rempah,,tidak ada,pil,Firdaus Kurnia Indah,madura dan sekitarnya,Bancaran,Bangkalan,
38,Jamu selokarang,"Menurunkan pusing, panas dalam sakit gigi tenggorokan",rempah,,tidak ada,cair,Kampung Paseraman Kamal,Se-indonesia,Bangkalan,Bangkalan,
39,Jamu Bengkes,Awet Muda Wajah Berseri,Rempah - Rempah,,tidak ada,serbuk,Njonja Boolan,"Bangkalan, Kamal, Tanjung Bumi, Arosbaya",bangkalan,Bangkalan,
40,Empot Ayam Super,1.Melegitkan dan menghaluskan vagina; 2. Mengencangkan otot kendor setelah melahirkan; 3. Menghilangkan bau serta gatalÂ²; 4. Mengatasi masalahÂ² ibu yg ikut bermacamÂ² KB; 5. Utk wanita frigid dan suami istri selalu harmonis; 6. Membuat awet muda dan cantik,Rempah-rempah,,tidak ada,pil,Jamu Pusaka Kraton Cakraningrat,"Madura, Luar Jawa",Bangkalan,Bangkalan,
41,Jamu Delima Putih,Mengatasi keputihan/pektay,Rempah-rempah,,tidak ada,serbuk,Jamu Putri Bangkalan,madura,Bangkalan,Bangkalan,
42,Sariawan Sekalor,"Menyembuhkan radang gusi, radang tenggorokan, sakit gigi, sakit kepala, amandel, ambeyen, demam,kolesterol dan mendetox darah.","Sirih, Kunyit, Meniran, Pare, ketumbar, kencur, adas manis, sambiloto, secang","Sehari 2x Pagi 5 butir, Malam 5 butir",tidak ada,pil,Mustika Madura,hingga luar madura,Jl.Jokotole No.20,pamekasan,
43,Galian Singset ( Susut Perut),"Melangsingkan badan, mengecilkan dan mengencangkan perut kendur,memadatkan tubuh,melancarkan BAB, membuat wajah segar dan tidak mudah keriput, menghilangkan selulit.","Temu Kunci, Temu Lawak, Sirih, Lengkuas, Partai Cina, Adas Manis, Delima, Asam Gelugur",1 x 5 butir sehari / sore hari,tidak ada,pil,Mustika Madura,hingga luar madura,Jl.Jokotole No.21,pamekasan,
44,Sehat Laki-laki Perkasa,"Menambah stamina dan juga menambah hormon, Menghilangkan capek/letih/encok, Menjaga tubuh tetap perkasa, Tidak mudah masuk angin, Mengentalkan sperma, Mencegah ejakulasi dini.","Kubeba, Jahe, Jintan hitam, kemukus, kapulaga, jintan putih, fenugreek",1 x 3 butir sehari/ sore hari. Penderita darah tinggi dan jantung tidak dianjurkan untuk meminum jamu ini.,tidak ada,pil,Mustika Madura,hingga luar madura,Jl.Jokotole No.22,pamekasan,
45,Sari Rapet Empot-Empot,"Mengharumkan bagian kewanitaan, Menyembuhkan keputihan/gatal disebabkan bakteri, Merapatkan vagina,Mengencangkan otot rahim, Menambah keharmonisan rumah tangga.","Ek Quercus Lusitanica, Terminalia Chebula, delima, sirih, temu kunci, adas manis",Setiap hari 5 butir/sore hari,tidak ada,pil,Mustika Madura,hingga luar madura,Jl.Jokotole No.23,pamekasan,
46,Pluntur(Pelancar Darah),"Melancarkan darah, menghilangkan pegel linu, menjaga stamina tubuh, mengurangi angka kelahiran.","Kubeba, Lengkuas, Lada Jawa, jahe, jintan putih","Setiap berhubungan 5 butir, Jika mengalami terlambat mens diminum setiap hari sampai 10 butir.",tidak ada,pil,Mustika Madura,hingga luar madura,Jl.Jokotole No.24,pamekasan,
47,Strong,"Menambah stamina tubuh, Menghilangkan capek/letih/encok, Menjaga tubuh tetap perkasa,  Mengentalkan sperma, Mencegah ejakulasi dini, Tahan lama.","Kubeba, Jahe, Jintan Hitam, Kemukus, Kapulaga, Jintan Putih, Fenugreek",1 x 2 kapsul. Penderita darah tinggi dan jantung tidak dianjurkan untuk meminum jamu ini.,tidak ada,kapsul,Pj. Alam Insani Herbal,hingga luar madura,,pamekasan,
48,Seger Montok,"Mengencangkan dan memontokkan payudara, Memadatkan tubuh, Mencerahkan wajah, Memberi nafsu makan, Menyehatkan badan.","Temu lawak, adas manis, lengkuas, temu kunci, delima,jintan hitam",1xsehari 5 butir.,tidak ada,pil,Mustika Madura,hingga luar madura,Jl.Jokotole No.24,pamekasan,
49,Rapet Wangi Spesial,"Mengharumkan bagian kewanitaan, Menyembuhkan keputihan/Gatal disebabkan bakteri, merapatkan vagina, Mengencangkan otot rahim, Menambah keharmonisan rumah tangga.","Oak Lusitanica Lamk, Terminalia Chebula, delima, sirih, temu kunci, adas manis",2 x 2 kapsul / pagi-sore hari,tidak ada,kapsul,Mustika Madura,hingga luar madura,Jl.Jokotole No.25,pamekasan,
50,Tolak Angin,"Menyembuhkan demam,pusing, perut mual, kembung, tenggorokan kering dan menambah daya tahan tubuh.","lengkuas, jintan hitam, kapulaga, petai cina, adas manis, temu lawak, jahe","Sehari 2x Pagi 5 butir, Malam 5 butir",tidak ada,pil,Mustika Madura,hingga luar madura,Jl.Jokotole No.26,pamekasan,
